"","round","loan_id","p1_dec","p2_dec","p3_dec","p4_dec","p5_dec","p6_dec","p7_dec","p8_dec","p9_dec","p10_dec"
"69",7,"2217033","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"70",7,"3296223","Reject",NA,"Approve","Approve","Approve","Reject",NA,NA,NA,NA
"71",8,"1313388","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"72",8,"1318579","Approve",NA,"Approve","Reject","Approve","Approve",NA,NA,NA,NA
"73",8,"1428542","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"74",8,"1510063","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"75",8,"1544722","Reject",NA,"Approve","Approve","Reject","Approve",NA,NA,NA,NA
"76",8,"1559058","Approve",NA,"Approve","Approve","Reject","Approve",NA,NA,NA,NA
"77",8,"1618903","Reject",NA,"Approve","Approve","Reject","Reject",NA,NA,NA,NA
"78",8,"2380536","Approve",NA,"Reject","Approve","Approve","Reject",NA,NA,NA,NA
"79",8,"3054732","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"80",8,"3064937","Approve",NA,"Reject","Approve","Reject","Reject",NA,NA,NA,NA
"81",9,"1475237","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"82",9,"1600579","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"83",9,"1678556","Approve",NA,"Approve","Approve","Reject","Reject",NA,NA,NA,NA
"84",9,"2373125","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"85",9,"2635597","Approve",NA,"Reject","Approve","Approve","Approve",NA,NA,NA,NA
"86",9,"2644637","Approve",NA,"Reject","Approve","Approve","Approve",NA,NA,NA,NA
"87",9,"2836821","Reject",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"88",9,"2974581","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"89",9,"3056242","Approve",NA,"Reject","Approve","Reject","Approve",NA,NA,NA,NA
"90",9,"3239736","Approve",NA,"Approve","Approve","Approve","Reject",NA,NA,NA,NA
